################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7097274990946307E+01 a       315     0    21     1    15
 -4.6290994498999485E+00 a       316     0    22     1     1
  5.5701293010144539E+00 a       317     0    22     1     2
 -9.3834744279032751E+00 a       318     0    22     1     3
 -2.2263230882498835E+01 a       319     0    22     1     4
  1.1818274119171093E+01 a       320     0    22     1     5
 -8.2842096016742897E+00 a       321     0    22     1     6
  4.3707050980610314E+00 a       322     0    22     1     7
  7.9230208249800098E+00 a       323     0    22     1     8
 -5.6884813249801001E+00 a       324     0    22     1     9
  1.2225315160376358E+01 a       325     0    22     1    10
  1.9781292699791628E+01 a       326     0    22     1    11
 -4.2757898915448692E+01 a       327     0    22     1    12
  2.8220855784842207E+01 a       328     0    22     1    13
 -1.4446862653077101E+01 a       329     0    22     1    14
  2.0375680333401114E+01 a       330     0    22     1    15
 -1.1889542650619942E+01 a       331     0    23     1     1
 -6.8201308462432761E+00 a       332     0    23     1     2
 -4.8333248606011487E+00 a       333     0    23     1     3
 -9.9005163653008221E+00 a       334     0    23     1     4
 -5.6068942127114791E+00 a       335     0    23     1     5
  3.6824172299204361E-01 a       336     0    23     1     6
  2.1001506347148695E+01 a       337     0    23     1     7
 -1.4259615825252133E+01 a       338     0    23     1     8
 -1.2614343484220363E+01 a       339     0    23     1     9
 -1.1556698577486625E+01 a       340     0    23     1    10
 -4.5463541145631220E-01 a       341     0    23     1    11
 -3.5023800257276605E+01 a       342     0    23     1    12
 -3.0605087781513829E+00 a       343     0    23     1    13
 -3.6735482413550656E+01 a       344     0    23     1    14
  8.7959402806158717E+00 a       345     0    23     1    15
 -8.3486526128842691E+00 a       346     0    24     1     1
  1.0385858313939856E+01 a       347     0    24     1     2
  5.5141340791845836E+00 a       348     0    24     1     3
  4.9741535880922534E+01 a       349     0    24     1     4
 -7.7320479231060588E+00 a       350     0    24     1     5
  8.2126792440009935E-02 a       351     0    24     1     6
  5.2133905129090241E+00 a       352     0    24     1     7
  1.7996609671551312E+01 a       353     0    24     1     8
  1.3894528284596980E+01 a       354     0    24     1     9
 -1.9412352986408280E+01 a       355     0    24     1    10
 -8.1997457343671023E+00 a       356     0    24     1    11
 -1.2134437020505844E+01 a       357     0    24     1    12
  8.1762710361173188E+00 a       358     0    24     1    13
 -1.4023988468798386E+01 a       359     0    24     1    14
 -1.3748084282255546E+01 a       360     0    24     1    15
  1.3713016816645778E+01 a       361     0    25     1     1
 -9.5315699701040462E+00 a       362     0    25     1     2
 -4.2592585380865309E+00 a       363     0    25     1     3
  2.0059354307243566E+01 a       364     0    25     1     4
 -3.7519706753755369E+00 a       365     0    25     1     5
  1.1411880468715415E+01 a       366     0    25     1     6
 -8.4809542057871266E+00 a       367     0    25     1     7
  3.1022043012315216E+01 a       368     0    25     1     8
 -8.7832093356235994E+00 a       369     0    25     1     9
  2.0842504373402594E+01 a       370     0    25     1    10
  1.1453678875147812E+01 a       371     0    25     1    11
